export_time,section,item,category,value,value_text,unit,notes
2026-02-25 14:51:25,meta,source_rows,trips/events,25.0,25/3696,count,trips_rows/events_rows
2026-02-25 14:51:25,kpi,total_trips,,25.0,25,,
2026-02-25 14:51:25,kpi,peak_active,,11.0,11,,
2026-02-25 14:51:25,kpi,peak_time_h,,0.0,0.00,,
2026-02-25 14:51:25,kpi,valley_non_zero,,4.0,4,,
2026-02-25 14:51:25,kpi,avg_active,,7.51,7.51,,
2026-02-25 14:51:25,kpi,p95_active,,11.0,11.00,,
2026-02-25 14:51:25,kpi,taxi_trips,,0.0,0,,
2026-02-25 14:51:25,kpi,taxi_avg_duration_min,,0.0,0.00,,
2026-02-25 14:51:25,kpi,crosswalk_issues,,6.0,6,,
2026-02-25 14:51:25,kpi,companion_issues,,0.0,0,,
2026-02-25 14:51:25,kpi,events_rows,,3696.0,3696,,
2026-02-25 14:51:25,kpi,home_return_work_ratio_pct,,0.0,0.0,,
2026-02-25 14:51:25,kpi,work_home_gap,,1189.0,1189,,
2026-02-25 14:51:25,kpi,trip_event_closure_pct,,2.1,2.1,,
2026-02-25 14:51:25,mode_share,observed_share_pct,walking,44.0,,pct,
2026-02-25 14:51:25,mode_share,expected_mixed_share_pct,walking,13.9573,,pct,
2026-02-25 14:51:25,mode_share,expected_short_share_pct,walking,40.4762,,pct,
2026-02-25 14:51:25,mode_share,expected_long_share_pct,walking,0.0,,pct,
2026-02-25 14:51:25,mode_share,delta_vs_mixed_pct_points,walking,30.0427,,pct,
2026-02-25 14:51:25,mode_share,observed_share_pct,car,44.0,,pct,
2026-02-25 14:51:25,mode_share,expected_mixed_share_pct,car,67.3533,,pct,
2026-02-25 14:51:25,mode_share,expected_short_share_pct,car,57.1429,,pct,
2026-02-25 14:51:25,mode_share,expected_long_share_pct,car,72.7273,,pct,
2026-02-25 14:51:25,mode_share,delta_vs_mixed_pct_points,car,-23.3533,,pct,
2026-02-25 14:51:25,mode_share,observed_share_pct,train,12.0,,pct,
2026-02-25 14:51:25,mode_share,expected_mixed_share_pct,train,15.883,,pct,
2026-02-25 14:51:25,mode_share,expected_short_share_pct,train,0.0,,pct,
2026-02-25 14:51:25,mode_share,expected_long_share_pct,train,24.2424,,pct,
2026-02-25 14:51:25,mode_share,delta_vs_mixed_pct_points,train,-3.883,,pct,
2026-02-25 14:51:25,active_timeline_summary,peak_active,,11.0,,count,
2026-02-25 14:51:25,active_timeline_summary,peak_time_seconds,,5.929411764705883,,seconds,
2026-02-25 14:51:25,active_timeline_summary,avg_active,,7.508333333333334,,count,
2026-02-25 14:51:25,active_timeline_summary,active_p95,,11.0,,count,
2026-02-25 14:51:25,active_timeline_summary,active_non_zero_min,,4.0,,count,
2026-02-25 14:51:25,active_timeline_series,active_travelers,,10.0,,count,time_seconds=2.880
2026-02-25 14:51:25,active_timeline_series,active_travelers,,10.0,,count,time_seconds=3.098
2026-02-25 14:51:25,active_timeline_series,active_travelers,,10.0,,count,time_seconds=3.316
2026-02-25 14:51:25,active_timeline_series,active_travelers,,10.0,,count,time_seconds=3.533
2026-02-25 14:51:25,active_timeline_series,active_travelers,,10.0,,count,time_seconds=3.751
2026-02-25 14:51:25,active_timeline_series,active_travelers,,10.0,,count,time_seconds=3.969
2026-02-25 14:51:25,active_timeline_series,active_travelers,,10.0,,count,time_seconds=4.187
2026-02-25 14:51:25,active_timeline_series,active_travelers,,10.0,,count,time_seconds=4.405
2026-02-25 14:51:25,active_timeline_series,active_travelers,,10.0,,count,time_seconds=4.623
2026-02-25 14:51:25,active_timeline_series,active_travelers,,10.0,,count,time_seconds=4.840
2026-02-25 14:51:25,active_timeline_series,active_travelers,,10.0,,count,time_seconds=5.058
2026-02-25 14:51:25,active_timeline_series,active_travelers,,10.0,,count,time_seconds=5.276
