export_time,section,item,category,value,value_text,unit,notes
2026-02-23 12:34:20,meta,source_rows,trips/events,16265.0,16265/446874,count,trips_rows/events_rows
2026-02-23 12:34:20,kpi,total_trips,,16265.0,16265,,
2026-02-23 12:34:20,kpi,peak_active,,1474.0,1474,,
2026-02-23 12:34:20,kpi,peak_time_h,,9.5,9.50,,
2026-02-23 12:34:20,kpi,valley_non_zero,,1.0,1,,
2026-02-23 12:34:20,kpi,avg_active,,373.88,373.88,,
2026-02-23 12:34:20,kpi,p95_active,,1017.1,1017.10,,
2026-02-23 12:34:20,kpi,taxi_trips,,201.0,201,,
2026-02-23 12:34:20,kpi,taxi_avg_duration_min,,295.99,295.99,,
2026-02-23 12:34:20,kpi,crosswalk_issues,,848.0,848,,
2026-02-23 12:34:20,kpi,companion_issues,,168223.0,168223,,
2026-02-23 12:34:20,kpi,events_rows,,446874.0,446874,,
2026-02-23 12:34:20,kpi,home_return_work_ratio_pct,,96.2,96.2,,
2026-02-23 12:34:20,kpi,work_home_gap,,288.0,288,,
2026-02-23 12:34:20,kpi,trip_event_closure_pct,,85.8,85.8,,
2026-02-23 12:34:20,mode_share,observed_share_pct,car,72.8987,,pct,
2026-02-23 12:34:20,mode_share,expected_mixed_share_pct,car,67.8539,,pct,
2026-02-23 12:34:20,mode_share,expected_short_share_pct,car,57.1429,,pct,
2026-02-23 12:34:20,mode_share,expected_long_share_pct,car,72.7273,,pct,
2026-02-23 12:34:20,mode_share,delta_vs_mixed_pct_points,car,5.0449,,pct,
2026-02-23 12:34:20,mode_share,observed_share_pct,walking,13.1703,,pct,
2026-02-23 12:34:20,mode_share,expected_mixed_share_pct,walking,12.6573,,pct,
2026-02-23 12:34:20,mode_share,expected_short_share_pct,walking,40.4762,,pct,
2026-02-23 12:34:20,mode_share,expected_long_share_pct,walking,0.0,,pct,
2026-02-23 12:34:20,mode_share,delta_vs_mixed_pct_points,walking,0.513,,pct,
2026-02-23 12:34:20,mode_share,observed_share_pct,train,12.6674,,pct,
2026-02-23 12:34:20,mode_share,expected_mixed_share_pct,train,16.6616,,pct,
2026-02-23 12:34:20,mode_share,expected_short_share_pct,train,0.0,,pct,
2026-02-23 12:34:20,mode_share,expected_long_share_pct,train,24.2424,,pct,
2026-02-23 12:34:20,mode_share,delta_vs_mixed_pct_points,train,-3.9942,,pct,
2026-02-23 12:34:20,mode_share,observed_share_pct,taxi,1.2636,,pct,
2026-02-23 12:34:20,mode_share,expected_mixed_share_pct,taxi,2.8272,,pct,
2026-02-23 12:34:20,mode_share,expected_short_share_pct,taxi,2.381,,pct,
2026-02-23 12:34:20,mode_share,expected_long_share_pct,taxi,3.0303,,pct,
2026-02-23 12:34:20,mode_share,delta_vs_mixed_pct_points,taxi,-1.5636,,pct,
2026-02-23 12:34:20,active_timeline_summary,peak_active,,1474.0,,count,
2026-02-23 12:34:20,active_timeline_summary,peak_time_seconds,,34213.24922203672,,seconds,
2026-02-23 12:34:20,active_timeline_summary,avg_active,,373.87666666666667,,count,
2026-02-23 12:34:20,active_timeline_summary,active_p95,,1017.0999999999999,,count,
2026-02-23 12:34:20,active_timeline_summary,active_non_zero_min,,1.0,,count,
2026-02-23 12:34:20,active_timeline_series,active_travelers,,1014.0,,count,time_seconds=2.880
2026-02-23 12:34:20,active_timeline_series,active_travelers,,1033.0,,count,time_seconds=135.994
2026-02-23 12:34:20,active_timeline_series,active_travelers,,1092.0,,count,time_seconds=269.109
2026-02-23 12:34:20,active_timeline_series,active_travelers,,1102.0,,count,time_seconds=402.223
2026-02-23 12:34:20,active_timeline_series,active_travelers,,1093.0,,count,time_seconds=535.337
2026-02-23 12:34:20,active_timeline_series,active_travelers,,1136.0,,count,time_seconds=668.451
2026-02-23 12:34:20,active_timeline_series,active_travelers,,1102.0,,count,time_seconds=801.566
2026-02-23 12:34:20,active_timeline_series,active_travelers,,966.0,,count,time_seconds=934.680
2026-02-23 12:34:20,active_timeline_series,active_travelers,,950.0,,count,time_seconds=1067.794
2026-02-23 12:34:20,active_timeline_series,active_travelers,,979.0,,count,time_seconds=1200.908
2026-02-23 12:34:20,active_timeline_series,active_travelers,,1001.0,,count,time_seconds=1334.023
2026-02-23 12:34:20,active_timeline_series,active_travelers,,1000.0,,count,time_seconds=1467.137
