export_time,section,item,category,value,value_text,unit,notes
2026-02-23 13:11:51,meta,source_rows,trips/events,16270.0,16270/450560,count,trips_rows/events_rows
2026-02-23 13:11:51,kpi,total_trips,,16270.0,16270,,
2026-02-23 13:11:51,kpi,peak_active,,1429.0,1429,,
2026-02-23 13:11:51,kpi,peak_time_h,,9.49,9.49,,
2026-02-23 13:11:51,kpi,valley_non_zero,,3.0,3,,
2026-02-23 13:11:51,kpi,avg_active,,370.53,370.53,,
2026-02-23 13:11:51,kpi,p95_active,,1033.05,1033.05,,
2026-02-23 13:11:51,kpi,taxi_trips,,203.0,203,,
2026-02-23 13:11:51,kpi,taxi_avg_duration_min,,296.1,296.10,,
2026-02-23 13:11:51,kpi,crosswalk_issues,,873.0,873,,
2026-02-23 13:11:51,kpi,companion_issues,,249435.0,249435,,
2026-02-23 13:11:51,kpi,events_rows,,450560.0,450560,,
2026-02-23 13:11:51,kpi,home_return_work_ratio_pct,,96.5,96.5,,
2026-02-23 13:11:51,kpi,work_home_gap,,265.0,265,,
2026-02-23 13:11:51,kpi,trip_event_closure_pct,,87.0,87.0,,
2026-02-23 13:11:51,mode_share,observed_share_pct,car,72.0897,,pct,
2026-02-23 13:11:51,mode_share,expected_mixed_share_pct,car,67.8135,,pct,
2026-02-23 13:11:51,mode_share,expected_short_share_pct,car,57.1429,,pct,
2026-02-23 13:11:51,mode_share,expected_long_share_pct,car,72.7273,,pct,
2026-02-23 13:11:51,mode_share,delta_vs_mixed_pct_points,car,4.2762,,pct,
2026-02-23 13:11:51,mode_share,observed_share_pct,walking,14.0565,,pct,
2026-02-23 13:11:51,mode_share,expected_mixed_share_pct,walking,12.7622,,pct,
2026-02-23 13:11:51,mode_share,expected_short_share_pct,walking,40.4762,,pct,
2026-02-23 13:11:51,mode_share,expected_long_share_pct,walking,0.0,,pct,
2026-02-23 13:11:51,mode_share,delta_vs_mixed_pct_points,walking,1.2944,,pct,
2026-02-23 13:11:51,mode_share,observed_share_pct,train,12.606,,pct,
2026-02-23 13:11:51,mode_share,expected_mixed_share_pct,train,16.5988,,pct,
2026-02-23 13:11:51,mode_share,expected_short_share_pct,train,0.0,,pct,
2026-02-23 13:11:51,mode_share,expected_long_share_pct,train,24.2424,,pct,
2026-02-23 13:11:51,mode_share,delta_vs_mixed_pct_points,train,-3.9927,,pct,
2026-02-23 13:11:51,mode_share,observed_share_pct,taxi,1.2477,,pct,
2026-02-23 13:11:51,mode_share,expected_mixed_share_pct,taxi,2.8256,,pct,
2026-02-23 13:11:51,mode_share,expected_short_share_pct,taxi,2.381,,pct,
2026-02-23 13:11:51,mode_share,expected_long_share_pct,taxi,3.0303,,pct,
2026-02-23 13:11:51,mode_share,delta_vs_mixed_pct_points,taxi,-1.5779,,pct,
2026-02-23 13:11:51,active_timeline_summary,peak_active,,1429.0,,count,
2026-02-23 13:11:51,active_timeline_summary,peak_time_seconds,,34161.53342904841,,seconds,
2026-02-23 13:11:51,active_timeline_summary,avg_active,,370.52666666666664,,count,
2026-02-23 13:11:51,active_timeline_summary,active_p95,,1033.05,,count,
2026-02-23 13:11:51,active_timeline_summary,active_non_zero_min,,3.0,,count,
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1014.0,,count,time_seconds=2.880
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1031.0,,count,time_seconds=138.430
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1087.0,,count,time_seconds=273.980
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1093.0,,count,time_seconds=409.531
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1134.0,,count,time_seconds=545.081
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1123.0,,count,time_seconds=680.631
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1092.0,,count,time_seconds=816.181
2026-02-23 13:11:51,active_timeline_series,active_travelers,,947.0,,count,time_seconds=951.731
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1016.0,,count,time_seconds=1087.282
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1013.0,,count,time_seconds=1222.832
2026-02-23 13:11:51,active_timeline_series,active_travelers,,982.0,,count,time_seconds=1358.382
2026-02-23 13:11:51,active_timeline_series,active_travelers,,985.0,,count,time_seconds=1493.932
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1043.0,,count,time_seconds=1629.483
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1037.0,,count,time_seconds=1765.033
2026-02-23 13:11:51,active_timeline_series,active_travelers,,917.0,,count,time_seconds=1900.583
2026-02-23 13:11:51,active_timeline_series,active_travelers,,824.0,,count,time_seconds=2036.133
2026-02-23 13:11:51,active_timeline_series,active_travelers,,739.0,,count,time_seconds=2171.683
2026-02-23 13:11:51,active_timeline_series,active_travelers,,666.0,,count,time_seconds=2307.234
2026-02-23 13:11:51,active_timeline_series,active_travelers,,606.0,,count,time_seconds=2442.784
2026-02-23 13:11:51,active_timeline_series,active_travelers,,559.0,,count,time_seconds=2578.334
2026-02-23 13:11:51,active_timeline_series,active_travelers,,526.0,,count,time_seconds=2713.884
2026-02-23 13:11:51,active_timeline_series,active_travelers,,447.0,,count,time_seconds=2849.434
2026-02-23 13:11:51,active_timeline_series,active_travelers,,412.0,,count,time_seconds=2984.985
2026-02-23 13:11:51,active_timeline_series,active_travelers,,385.0,,count,time_seconds=3120.535
2026-02-23 13:11:51,active_timeline_series,active_travelers,,369.0,,count,time_seconds=3256.085
2026-02-23 13:11:51,active_timeline_series,active_travelers,,353.0,,count,time_seconds=3391.635
2026-02-23 13:11:51,active_timeline_series,active_travelers,,335.0,,count,time_seconds=3527.186
2026-02-23 13:11:51,active_timeline_series,active_travelers,,399.0,,count,time_seconds=3662.736
2026-02-23 13:11:51,active_timeline_series,active_travelers,,577.0,,count,time_seconds=3798.286
2026-02-23 13:11:51,active_timeline_series,active_travelers,,673.0,,count,time_seconds=3933.836
2026-02-23 13:11:51,active_timeline_series,active_travelers,,729.0,,count,time_seconds=4069.386
2026-02-23 13:11:51,active_timeline_series,active_travelers,,886.0,,count,time_seconds=4204.937
2026-02-23 13:11:51,active_timeline_series,active_travelers,,974.0,,count,time_seconds=4340.487
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1024.0,,count,time_seconds=4476.037
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1035.0,,count,time_seconds=4611.587
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1070.0,,count,time_seconds=4747.137
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1090.0,,count,time_seconds=4882.688
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1085.0,,count,time_seconds=5018.238
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1119.0,,count,time_seconds=5153.788
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1192.0,,count,time_seconds=5289.338
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1236.0,,count,time_seconds=5424.888
2026-02-23 13:11:51,active_timeline_series,active_travelers,,1046.0,,count,time_seconds=5560.439
2026-02-23 13:11:51,active_timeline_series,active_travelers,,946.0,,count,time_seconds=5695.989
2026-02-23 13:11:51,active_timeline_series,active_travelers,,856.0,,count,time_seconds=5831.539
2026-02-23 13:11:51,active_timeline_series,active_travelers,,784.0,,count,time_seconds=5967.089
2026-02-23 13:11:51,active_timeline_series,active_travelers,,722.0,,count,time_seconds=6102.640
2026-02-23 13:11:51,active_timeline_series,active_travelers,,667.0,,count,time_seconds=6238.190
2026-02-23 13:11:51,active_timeline_series,active_travelers,,622.0,,count,time_seconds=6373.740
2026-02-23 13:11:51,active_timeline_series,active_travelers,,589.0,,count,time_seconds=6509.290
2026-02-23 13:11:51,active_timeline_series,active_travelers,,525.0,,count,time_seconds=6644.840
2026-02-23 13:11:51,active_timeline_series,active_travelers,,501.0,,count,time_seconds=6780.391
2026-02-23 13:11:51,active_timeline_series,active_travelers,,483.0,,count,time_seconds=6915.941
2026-02-23 13:11:51,active_timeline_series,active_travelers,,465.0,,count,time_seconds=7051.491
2026-02-23 13:11:51,active_timeline_series,active_travelers,,450.0,,count,time_seconds=7187.041
2026-02-23 13:11:51,active_timeline_series,active_travelers,,518.0,,count,time_seconds=7322.591
2026-02-23 13:11:51,active_timeline_series,active_travelers,,581.0,,count,time_seconds=7458.142
2026-02-23 13:11:51,active_timeline_series,active_travelers,,620.0,,count,time_seconds=7593.692
2026-02-23 13:11:51,active_timeline_series,active_travelers,,666.0,,count,time_seconds=7729.242
2026-02-23 13:11:51,active_timeline_series,active_travelers,,677.0,,count,time_seconds=7864.792
2026-02-23 13:11:51,active_timeline_series,active_travelers,,724.0,,count,time_seconds=8000.343
2026-02-23 13:11:51,active_timeline_series,active_travelers,,732.0,,count,time_seconds=8135.893
2026-02-23 13:11:51,active_timeline_series,active_travelers,,762.0,,count,time_seconds=8271.443
2026-02-23 13:11:51,active_timeline_series,active_travelers,,744.0,,count,time_seconds=8406.993
2026-02-23 13:11:51,active_timeline_series,active_travelers,,739.0,,count,time_seconds=8542.543
2026-02-23 13:11:51,active_timeline_series,active_travelers,,731.0,,count,time_seconds=8678.094
2026-02-23 13:11:51,active_timeline_series,active_travelers,,735.0,,count,time_seconds=8813.644
2026-02-23 13:11:51,active_timeline_series,active_travelers,,767.0,,count,time_seconds=8949.194
2026-02-23 13:11:51,active_timeline_series,active_travelers,,741.0,,count,time_seconds=9084.744
2026-02-23 13:11:51,active_timeline_series,active_travelers,,688.0,,count,time_seconds=9220.294
2026-02-23 13:11:51,active_timeline_series,active_travelers,,616.0,,count,time_seconds=9355.845
2026-02-23 13:11:51,active_timeline_series,active_travelers,,567.0,,count,time_seconds=9491.395
2026-02-23 13:11:51,active_timeline_series,active_travelers,,537.0,,count,time_seconds=9626.945
2026-02-23 13:11:51,active_timeline_series,active_travelers,,512.0,,count,time_seconds=9762.495
2026-02-23 13:11:51,active_timeline_series,active_travelers,,484.0,,count,time_seconds=9898.045
2026-02-23 13:11:51,active_timeline_series,active_travelers,,467.0,,count,time_seconds=10033.596
2026-02-23 13:11:51,active_timeline_series,active_travelers,,446.0,,count,time_seconds=10169.146
2026-02-23 13:11:51,active_timeline_series,active_travelers,,414.0,,count,time_seconds=10304.696
2026-02-23 13:11:51,active_timeline_series,active_travelers,,400.0,,count,time_seconds=10440.246
2026-02-23 13:11:51,active_timeline_series,active_travelers,,391.0,,count,time_seconds=10575.797
2026-02-23 13:11:51,active_timeline_series,active_travelers,,387.0,,count,time_seconds=10711.347
2026-02-23 13:11:51,active_timeline_series,active_travelers,,399.0,,count,time_seconds=10846.897
2026-02-23 13:11:51,active_timeline_series,active_travelers,,427.0,,count,time_seconds=10982.447
2026-02-23 13:11:51,active_timeline_series,active_travelers,,458.0,,count,time_seconds=11117.997
2026-02-23 13:11:51,active_timeline_series,active_travelers,,474.0,,count,time_seconds=11253.548
2026-02-23 13:11:51,active_timeline_series,active_travelers,,499.0,,count,time_seconds=11389.098
2026-02-23 13:11:51,active_timeline_series,active_travelers,,507.0,,count,time_seconds=11524.648
2026-02-23 13:11:51,active_timeline_series,active_travelers,,542.0,,count,time_seconds=11660.198
2026-02-23 13:11:51,active_timeline_series,active_travelers,,536.0,,count,time_seconds=11795.748
2026-02-23 13:11:51,active_timeline_series,active_travelers,,531.0,,count,time_seconds=11931.299
2026-02-23 13:11:51,active_timeline_series,active_travelers,,560.0,,count,time_seconds=12066.849
2026-02-23 13:11:51,active_timeline_series,active_travelers,,541.0,,count,time_seconds=12202.399
2026-02-23 13:11:51,active_timeline_series,active_travelers,,538.0,,count,time_seconds=12337.949
