person_id,trip_id,purpose,mode,origin_type,origin_x,origin_y,dest_type,dest_x,dest_y,start_time,end_time,duration,status,path_cost,real_distance,wait_time
Person_17,Person_17_1,working,train,home,7631.235334164509,3402.9581956036873,,8351.70415135049,2763.8378920000764,2.88,2.88,0.0,COMPLETED,0,0,0
Person_507,Person_507_1,working,train,home,7094.389180531434,3956.7626455328887,,6383.066520287023,4062.6484057004186,2.88,2.88,0.0,COMPLETED,0,0,0
Person_3425,Person_3425_1,working,walking,home,8092.4424099360085,4002.0659959651725,university,5887.791508799354,2982.146731596164,2.88,2.88,0.0,COMPLETED,0,0,0
Person_5174,Person_5174_1,working,train,home,6829.958893715733,4097.893303392171,,6383.066520287023,4062.6484057004186,2.88,2.88,0.0,COMPLETED,0,0,0
Person_6431,Person_6431_1,working,walking,home,7085.09005885376,3177.024576282746,university,8680.422548567441,1236.9101943957473,2.88,2.88,0.0,COMPLETED,0,0,0
Person_6970,Person_6970_1,working,train,home,8841.23715559046,3443.3146204736513,,8351.70415135049,2763.8378920000764,2.88,2.88,0.0,COMPLETED,0,0,0
Person_8014,Person_8014_1,working,train,home,6293.5937827028565,2774.277052713016,,6383.066520287023,4062.6484057004186,2.88,2.88,0.0,COMPLETED,0,0,0
Person_8098,Person_8098_1,working,train,home,6956.9507769861975,3789.498965662462,,6383.066520287023,4062.6484057004186,2.88,2.88,0.0,COMPLETED,0,0,0
Person_8650,Person_8650_1,working,train,home,6849.030456639985,3995.3115524784075,,6383.066520287023,4062.6484057004186,2.88,2.88,0.0,COMPLETED,0,0,0
Person_9250,Person_9250_1,working,train,home,7888.5819716730375,3171.1780631051583,,8351.70415135049,2763.8378920000764,2.88,2.88,0.0,COMPLETED,0,0,0
Person_8664,Person_8664_1,working,car,home,8857.112942334299,3861.7722494391387,city,10159.910029921817,195.30711077929786,2.88,12.769,9.889,COMPLETED,0,0,0
Person_9439,Person_9439_1,working,car,home,6616.275834528968,4031.71110713962,city,10159.910029921817,195.30711077929786,2.88,12.769,9.889,COMPLETED,0,0,0
Person_1533,Person_1533_1,working,car,home,6630.631985307032,4160.868894661804,city,10159.910029921817,195.30711077929786,2.88,15.466,12.585999999999999,COMPLETED,0,0,0
Person_1429,Person_1429_1,working,car,home,5653.439469264909,2273.6357379971205,university,5901.5627362491805,2994.702412765903,2.88,19.062,16.182000000000002,COMPLETED,0,0,0
Person_5213,Person_5213_1,working,car,home,7759.503929395974,3167.5637709059424,city,10159.910029921817,195.30711077929786,2.88,19.961,17.081,COMPLETED,0,0,0
Person_1701,Person_1701_1,working,car,home,6469.279513008723,4164.032547709467,city,10159.910029921817,195.30711077929786,2.88,20.86,17.98,COMPLETED,0,0,0
Person_3775,Person_3775_1,working,car,home,3526.973375341535,6005.4600012005785,university,6980.17060882167,3727.0047244733337,2.88,20.86,17.98,COMPLETED,0,0,0
Person_5454,Person_5454_1,working,car,home,126.82488358348685,4319.6356930350885,yes,6469.3815301865825,4471.240971286621,2.88,20.86,17.98,COMPLETED,0,0,0
Person_572,Person_572_1,working,car,home,2490.482009668934,4190.339908742099,city,10159.910029921817,195.30711077929786,2.88,21.759,18.879,COMPLETED,0,0,0
Person_3138,Person_3138_1,working,car,home,8984.85164352066,2635.1223578212116,city,10159.910029921817,195.30711077929786,2.88,21.759,18.879,COMPLETED,0,0,0
Person_4451,Person_4451_1,working,car,home,6837.680159788419,2782.985363145725,city,10159.910029921817,195.30711077929786,2.88,21.759,18.879,COMPLETED,0,0,0
Person_4541,Person_4541_1,working,car,home,7918.232265126211,3582.170430270401,city,10159.910029921817,195.30711077929786,2.88,21.759,18.879,COMPLETED,0,0,0
Person_5791,Person_5791_1,working,car,home,10159.910029921817,195.30711077929786,industrial,9200.181698772189,4191.132846479432,2.88,21.759,18.879,COMPLETED,0,0,0
Person_7047,Person_7047_1,working,car,home,126.82488358348685,4319.6356930350885,yes,5805.551402363913,1054.6607284768834,2.88,21.759,18.879,COMPLETED,0,0,0
Person_7391,Person_7391_1,working,car,home,10159.910029921817,195.30711077929786,yes,8513.49404852074,1167.6756087635563,2.88,21.759,18.879,COMPLETED,0,0,0
Person_463,Person_463_1,working,car,home,6299.667273519436,2773.5164764855995,city,10159.910029921817,195.30711077929786,2.88,22.658,19.778000000000002,COMPLETED,0,0,0
Person_5286,Person_5286_1,working,car,home,7298.973337424706,3679.165400074617,university,8680.422548567441,1236.9101943957473,2.88,22.658,19.778000000000002,COMPLETED,0,0,0
Person_8941,Person_8941_1,working,car,home,8907.124336725856,1348.0285239436153,city,10159.910029921817,195.30711077929786,2.88,22.658,19.778000000000002,COMPLETED,0,0,0
Person_6973,Person_6973_1,working,car,home,7113.010213248334,4120.805336310302,city,10159.910029921817,195.30711077929786,2.88,23.557,20.677,COMPLETED,0,0,0
Person_5169,Person_5169_1,working,car,home,7738.674090791036,3517.7365936356946,city,10159.910029921817,195.30711077929786,2.88,24.456,21.576,COMPLETED,0,0,0
Person_6776,Person_6776_1,working,car,home,7695.784425277014,4985.124822905777,city,10159.910029921817,195.30711077929786,2.88,24.456,21.576,COMPLETED,0,0,0
Person_7916,Person_7916_1,working,car,home,7837.2044240703935,5339.045658378181,city,10159.910029921817,195.30711077929786,2.88,26.254,23.374000000000002,COMPLETED,0,0,0
Person_5449,Person_5449_1,working,car,home,4065.2060983642004,1289.6729660000035,yes,7085.09005885376,3177.024576282746,2.88,27.153,24.273,COMPLETED,0,0,0
Person_3052,Person_3052_1,working,car,home,4065.2060983642004,1289.6729660000035,industrial,4251.152690592777,1836.4152758022178,2.88,28.052,25.172,COMPLETED,0,0,0
Person_5827,Person_5827_1,working,car,home,6166.161582833444,2503.4940165329194,city,10159.910029921817,195.30711077929786,2.88,28.052,25.172,COMPLETED,0,0,0
Person_8191,Person_8191_1,working,car,home,10159.910029921817,195.30711077929786,yes,6522.506143502348,4072.7105293890486,2.88,28.052,25.172,COMPLETED,0,0,0
Person_9496,Person_9496_1,working,car,home,7845.975484157773,3412.359145928244,university,6839.399852089795,3585.511730890991,2.88,28.052,25.172,COMPLETED,0,0,0
