event_type,time,entity_id,related_id,details,extra_1,extra_2
TAXI_QUEUE_SNAPSHOT,0.0,switchboard,queue,0,0.0,12
SCHEDULE_WORK_DEPARTURE,0.0,Person_769,yes,start_work:6|delay_min:22,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_771,yes,start_work:6|delay_min:29,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_775,city,start_work:6|delay_min:22,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_779,city,start_work:6|delay_min:4,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_787,yes,start_work:6|delay_min:23,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_799,city,start_work:6|delay_min:21,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_809,university,start_work:6|delay_min:22,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_816,city,start_work:6|delay_min:4,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_835,industrial,start_work:6|delay_min:23,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_846,city,start_work:6|delay_min:7,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_856,yes,start_work:6|delay_min:1,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_859,school,start_work:6|delay_min:4,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_890,city,start_work:6|delay_min:2,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_903,city,start_work:6|delay_min:16,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_921,university,start_work:6|delay_min:21,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_929,city,start_work:6|delay_min:22,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_934,yes,start_work:6|delay_min:7,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_941,city,start_work:6|delay_min:27,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_945,industrial,start_work:6|delay_min:11,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_955,yes,start_work:6|delay_min:29,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_960,city,start_work:6|delay_min:27,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_988,city,start_work:6|delay_min:7,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_997,city,start_work:6|delay_min:9,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_1003,city,start_work:6|delay_min:0,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_1008,university,start_work:6|delay_min:11,0,0
SCHEDULE_WORK_DEPARTURE,0.0,Person_1014,city,start_work:6|delay_min:9,0,0
